,client_id,read_id,sensor_id,geo,horario,umidade
0,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,44
1,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,44
2,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,43
3,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,43
4,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,42
5,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,42
6,92a71676-6b94-456d-88f5-c307ac8ef8f0,f9187eb5-acde-4c01-970d-933d153f2665,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 00:01:15,43
7,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,41
8,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,41
9,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,39
10,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,39
11,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,38
12,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,38
13,92a71676-6b94-456d-88f5-c307ac8ef8f0,32139943-6259-412c-910e-a507be62174a,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 01:01:15,39
14,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,38
15,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,38
16,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,36
17,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,36
18,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,34
19,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,34
20,92a71676-6b94-456d-88f5-c307ac8ef8f0,f64f2c39-1cad-4fd1-9d2a-25d22eccdaf2,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 02:01:15,36
21,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,36
22,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,35
23,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,33
24,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,33
25,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,31
26,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,31
27,92a71676-6b94-456d-88f5-c307ac8ef8f0,b12638b9-2033-4c58-a334-b6c27a75adc0,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 03:01:15,33
28,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,34
29,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,33
30,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,30
31,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,30
32,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,28
33,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,28
34,92a71676-6b94-456d-88f5-c307ac8ef8f0,e8f3e5ad-be7a-4de6-9dc7-a836e625aa4e,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 04:01:15,30
35,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,32
36,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,31
37,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,28
38,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,27
39,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,25
40,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,25
41,92a71676-6b94-456d-88f5-c307ac8ef8f0,a1395f7c-93df-499c-a6d1-82626159bb1f,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 05:01:15,28
42,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,30
43,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,29
44,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,26
45,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,25
46,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,23
47,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,23
48,92a71676-6b94-456d-88f5-c307ac8ef8f0,a5bbd786-5e9b-4be3-925f-a98126336839,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 06:01:15,26
49,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,28
50,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,27
51,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,24
52,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-04-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,23
53,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-05-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,21
54,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-06-alto,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,21
55,92a71676-6b94-456d-88f5-c307ac8ef8f0,fca6e499-69e8-4f07-bad5-7970b7892c17,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-00-piloto,"-23.63999471182137,-46.97577444283879",2023-05-25 07:01:15,24
56,92a71676-6b94-456d-88f5-c307ac8ef8f0,32ccceb5-aaff-40fc-afcf-15b2bebe38db,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-01-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 08:01:15,26
57,92a71676-6b94-456d-88f5-c307ac8ef8f0,32ccceb5-aaff-40fc-afcf-15b2bebe38db,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-02-baixo,"-23.63999471182137,-46.97577444283879",2023-05-25 08:01:15,25
58,92a71676-6b94-456d-88f5-c307ac8ef8f0,32ccceb5-aaff-40fc-afcf-15b2bebe38db,92a71676-6b94-456d-88f5-c307ac8ef8f0sens-03-meio,"-23.63999471182137,-46.97577444283879",2023-05-25 08:01:15,22
